slug,title,template_id,interaction,asset_ref,mood
love-letter-archive,Love Letter Archive,template_LoveLetterArchive,letter-or-paper,none,M-FROST
love-letter-archive-vault,Love Letter Archive Vault,template_page-local,message-sequence,none,M-AMBER
love-letter-generator,Love Letter Generator,template_LoveLetterGenerator,letter-or-paper,none,M-GOLD
love-letter-in-balloon,Love Letter In Balloon,template_LoveLetterInBalloon,letter-or-paper,none,M-NIGHT
love-letter-pop-up3-d,Love Letter Pop Up3 D,template_LoveLetterPopUp3D,letter-or-paper,none,M-BLUSH
love-lock-bridge,Love Lock Bridge,template_LoveLockBridge,guided-interaction,none,M-MONO
love-lottery,Love Lottery,template_page-local,grow-or-assemble,none,M-SEPIA
love-love-story-comic-strip,Love Love Story Comic Strip,template_LoveLoveStoryComicStrip,guided-interaction,none,M-ELECT
love-mad-libs,Love Mad Libs,template_LoveMadLibs,guided-interaction,none,M-WINE
love-map-canvas,Love Map Canvas,template_LoveMapCanvas,guided-interaction,none,M-PAPER
love-maze,Love Maze,template_page-local,spatial-exploration,none,M-DAWN
love-memory-cube3-d,Love Memory Cube3 D,template_LoveMemoryCube3D,spatial-exploration,none,M-GREY
love-memory-film-strip,Love Memory Film Strip,template_LoveMemoryFilmStrip,guided-interaction,none,M-FOREST
love-memory-flip,Love Memory Flip,template_LoveMemoryFlip,guided-interaction,none,M-DUSK
love-memory-match3-d,Love Memory Match3 D,template_page-local,message-sequence,none,M-FIELD
love-memory-match,Love Memory Match,template_LoveMemoryMatch,guided-interaction,none,M-FROST
love-memory-tree3-d,Love Memory Tree3 D,template_LoveMemoryTree3D,grow-or-assemble,none,M-AMBER
love-message-in-abottle-ocean,Love Message In ABottle Ocean,template_LoveMessageInABottleOcean,message-sequence,none,M-GOLD
love-meteor-shower,Love Meteor Shower,template_LoveMeteorShower,guided-interaction,none,M-NIGHT
love-meter-deluxe,Love Meter Deluxe,template_page-local,guided-interaction,none,M-BLUSH
love-mirror-oracle,Love Mirror Oracle,template_LoveMirrorOracle,guided-interaction,none,M-MONO
love-music-box-carousel,Love Music Box Carousel,template_LoveMusicBoxCarousel,audio,none,M-SEPIA
love-neon-sign-designer,Love Neon Sign Designer,template_LoveNeonSignDesigner,guided-interaction,none,M-ELECT
love-neon-sign-gallery,Love Neon Sign Gallery,template_LoveNeonSignGallery,visual-collection,none,M-WINE
love-notes-wall,Love Notes Wall,template_LoveNotesWall,guided-interaction,none,M-PAPER
love-origami-heart,Love Origami Heart,template_LoveOrigamiHeart,letter-or-paper,none,M-DAWN
love-passport-stamps,Love Passport Stamps,template_page-local,audio,none,M-GREY
love-pet,Love Pet,template_VirtualLovePet,guided-interaction,none,M-FOREST
love-photo-booth,Love Photo Booth,template_LovePhotoBooth,visual-collection,none,M-DUSK
love-photo-mosaic-builder,Love Photo Mosaic Builder,template_LovePhotoMosaicBuilder,visual-collection,none,M-FIELD
love-piano,Love Piano,template_LovePiano,audio,none,M-FROST
love-pixel-art-creator,Love Pixel Art Creator,template_page-local,visual-collection,none,M-AMBER
love-poetry-fridge,Love Poetry Fridge,template_LovePoetryFridge,guided-interaction,none,M-GOLD
love-potion-brewery2,Love Potion Brewery2,template_page-local,reveal,none,M-NIGHT
love-potion-brewery,Love Potion Brewery,template_page-local,grow-or-assemble,none,M-BLUSH
love-potion-lab2,Love Potion Lab2,template_page-local,message-sequence,none,M-MONO
love-potion-laboratory,Love Potion Laboratory,template_LovePotionLaboratory,guided-interaction,none,M-SEPIA
love-potion,Love Potion,template_LovePotion,guided-interaction,none,M-ELECT
love-puzzle-slider,Love Puzzle Slider,template_LovePuzzleSlider,guided-interaction,none,M-WINE
love-quiz-advanced,Love Quiz Advanced,template_page-local,reveal,none,M-PAPER
love-quiz-personality,Love Quiz Personality,template_LoveQuizPersonality,game-or-puzzle,none,M-DAWN
love-radio,Love Radio,template_page-local,audio,none,M-GREY
love-recipe,Love Recipe,template_LoveRecipe,guided-interaction,none,M-FOREST
love-review,Love Review,template_LoveReview,guided-interaction,none,M-DUSK
love-rhythm-drum-pad,Love Rhythm Drum Pad,template_LoveRhythmDrumPad,guided-interaction,none,M-FIELD
love-rhythm-game,Love Rhythm Game,template_page-local,message-sequence,none,M-FROST
love-scrabble,Love Scrabble,template_LoveScrabble,game-or-puzzle,none,M-AMBER
love-scratch-card,Love Scratch Card,template_page-local,reveal,none,M-GOLD
love-scratch-off-gallery,Love Scratch Off Gallery,template_LoveScratchOffGallery,reveal,none,M-NIGHT
love-scratch-off-gallery-second,Love Scratch Off Gallery Second,template_page-local,reveal,none,M-BLUSH
love-scratch-voucher-book,Love Scratch Voucher Book,template_LoveScratchVoucherBook,reveal,none,M-MONO
love-slots,Love Slots,template_LoveSlots,randomized-choice,none,M-SEPIA
love-spell-caster,Love Spell Caster,template_LoveSpellCaster,guided-interaction,none,M-ELECT
love-spell-caster-studio,Love Spell Caster Studio,template_page-local,message-sequence,none,M-WINE
love-spin-bottle,Love Spin Bottle,template_LoveSpinBottle,guided-interaction,none,M-PAPER
love-spinner3-d,Love Spinner3 D,template_page-local,randomized-choice,none,M-DAWN
love-stamp-collection,Love Stamp Collection,template_LoveStampCollection,guided-interaction,none,M-GREY
love-sweet-confectionery-bakery,Love Sweet Confectionery Bakery,template_LoveSweetConfectioneryBakery,guided-interaction,none,M-FOREST
love-sweet-heart-paper-craft,Love Sweet Heart Paper Craft,template_page-local,message-sequence,none,M-DUSK
love-tamagotchi,Love Tamagotchi,template_LoveTamagotchi,guided-interaction,none,M-FIELD
